# 🏆 Codeforces Daily Progress — Record File

This file tracks all my daily Codeforces problem solutions.  
Each entry records the problem ID, name, level, language, status, and any important notes.  
I will update this file every day after solving a problem to keep a complete log of my competitive programming journey.

| Date       | Problem ID | Problem Name                       | Level | Language| Status | Notes                           |
|------------|------------|------------------------------------|-------|---------|--------|---------------------------------|
| 2025-12-09 | 71         | Way Too Long Words                 | A     | C++     | AC     | First CF submission             |
| 2025-12-09 | 4          | Watermelon                         | A     | C++     | AC     | Easy beginner problem           |
| 2025-12-09 | 50         | A Domino Piling                    | A     | C++     | AC     | Max pairs of cells              |
| 2025-12-09 | 1742       | A Sum                              | A     | C++     | AC     | Two numbers equal to third      | 
| 2025-12-09 | 1999       | A+B Again?                         | A     | C++     | AC     | Sum digits of num               |
| 2025-12-09 | 200        | Drinks                             | B     | C++     | AC     | Average of all percentage       |
| 2025-12-10 | 617        | Elephant                           | A     | C++     | AC     | Steps equal ceil(x/5)           |
| 2025-12-10 | 723        | The New Year Meeting Friends       | A     | C++     | AC     | Sort and subtract extremes      |
| 2025-12-10 | 486        | Calculating Function               | A     | C++     | AC     | Even positive, Odd negative     |
| 2025-12-10 | 705        | Hulk                               | A     | C++     | AC     | Alternate hate and love         |
| 2025-12-11 | 271        | Beautiful Year                     | A     | C++     | AC     | Find next distinct digits       |
| 2025-12-11 | 2166       | Tab Closing                        | B     | C++     | AC     | Else always need two            |
| 2025-12-12 | 2171       | Yuu Koito and Minimum Absolute Sum | B     | C++     | AC     | Keep lexicographically minimal  |
| 2025-12-13 | 2167       | Square?                            | A     | C++     | AC     | Just compare the sides          |
| 2025-12-14 | 1656       | Good Pair                          | A     | C++     | AC     | Indices of minimum and maximum  |
| 2025-12-15 | 2145       | Candies For Nephews                | A     | C++     | AC     | Just (3 - n % 3) % 3 this       |
| 2025-12-
